id;fecha_creacion;valor_dia;valor_registrado;diferencia;estado
1;2022-07-04T13:12:55;24238;1102;82666;DEUDA
2;2022-07-04T10:27:45;27364;90877;5705;DEUDA
3;2022-07-04T11:40:24;77070;43665;61003;DEUDA
4;2022-07-04T10:50:06;61364;74193;96482;SALDADA
5;2022-07-04T13:31:47;76784;52390;72186;SALDADA
6;2022-07-04T12:35:50;37428;24446;911;SALDADA
7;2022-07-04T17:51:10;43458;85818;71195;DEUDA
8;2022-07-04T08:51:16;78616;73079;2489;DEUDA
9;2022-07-04T08:56:36;20881;70322;86493;DEUDA
10;2022-07-04T09:45:10;73509;94102;43137;SALDADA
