id;fecha_creacion;fecha_inicio;fecha_fin;cantidad;estado;descripcion
1;2022-07-04T13:14:05;2022-07-04T21:02:59;2022-07-04T19:41:33;30690;CANCELADA;Hormigon Violeta
2;2022-07-04T14:27:36;2022-07-04T10:27:42;2022-07-04T13:00:18;138;CANCELADA;solid
3;2022-07-04T04:02:20;2022-07-04T13:04:06;2022-07-04T05:58:36;96762;CANCELADA;matrix
4;2022-07-04T21:16:30;2022-07-03T23:37:31;2022-07-04T11:37:45;94149;ACTIVA;Granito extensible
5;2022-07-04T08:24:17;2022-07-04T05:05:00;2022-07-04T19:11:09;91985;ACTIVA;array
6;2022-07-04T09:29:42;2022-07-04T16:17:25;2022-07-04T02:22:22;31567;VENCIDA;evolve
7;2022-07-04T10:16:31;2022-07-03T23:38:48;2022-07-04T00:09:08;6610;VENCIDA;Ingeniero
8;2022-07-04T00:44:02;2022-07-04T14:39:07;2022-07-04T08:39:00;51845;CANCELADA;RAM
9;2022-07-04T11:56:40;2022-07-04T14:48:02;2022-07-04T19:35:32;71287;CANCELADA;Calle Azul Ordenador
10;2022-07-04T07:59:50;2022-07-04T16:40:05;2022-07-04T07:11:53;99297;CANCELADA;Baleares Sección
