id;fecha_creacion;valor_inicial;valor_total_gastos;diferencia;estado
1;2022-07-04T16:33:27;27170;68116;71794;SALDADA
2;2022-07-04T21:40:34;23598;34391;74929;SALDADA
3;2022-07-03T23:48:38;2398;84869;15334;SALDADA
4;2022-07-04T12:27:50;48590;56051;72677;SALDADA
5;2022-07-04T18:45:19;90338;85356;14832;DEUDA
6;2022-07-04T23:05:51;35834;77150;43916;SALDADA
7;2022-07-04T12:00:47;28714;58776;34282;DEUDA
8;2022-07-04T23:01:54;79972;24313;23109;DEUDA
9;2022-07-04T10:24:05;52900;95712;16466;SALDADA
10;2022-07-04T13:02:14;36730;77327;95666;DEUDA
